Rang;Région;Province;Commune;Score
42;CASCADES;LERABA;DOUNA;129.9000015258789
43;BOUCLE DU MOUHOUN;BALE;POMPOÏ;129.89999771118164
44;CENTRE EST;BOULGOU;KOMTOEGA;129.20000457763672
45;HAUTS BASSINS;HOUET;DANDE;128.9000015258789
46;CENTRE EST;BOULGOU;NIAOGHO;128.6999969482422
47;CENTRE NORD;BAM;GUIBARÉ;128.00000381469727
48;SUD OUEST;IOBA;DANO;127.9000015258789
49;CENTRE NORD;SANMATENGA;PENSA;127.80000305175781
50;CENTRE NORD;BAM;ROLLO;127.79999542236328
51;CENTRE NORD;NAMENTENGA;YALGO;127.29999923706055
52;EST;TAPOA;KANTCHARI;127.20000076293945
52;HAUTS BASSINS;HOUET;KOUNDOUGOU;127.20000076293945
